id,date,lat,lon,x,y,temp,dist2water,dist2water_2,elev,slope,aspect,TRI,dist2pop,lulc,ndvi,prop_tree,prop_shrub
5605,2022-03-17T06:53:00Z,-23.87907,32.16675,415168.21564858523,7358912.271518882,31,247.0581932846179,247.0581932846179,93,0.3100647139122943,19.895057634268294,0.375,2120.61181640625,Tree cover,0.40463021397590637,0.2910037338733673,0.4466875493526459
5605,2022-03-17T12:54:00Z,-23.84179,32.18002,416495.3781925423,7363047.788745739,44,3327.612708705923,1525.4565154955897,135,2.075406801725384,332.791038986791,2.125,1759.254150390625,Tree cover,0.501767098903656,0.3723422586917877,0.3261842131614685
5605,2022-03-17T18:57:00Z,-23.77655,32.20507,419006.0582154145,7370285.59077687,33,10542.752789382464,3713.7221167729713,112,0.14339262685675122,227.33039986756046,0.375,6493.63671875,NA,0.5628185868263245,0.5374971032142639,0.20801132917404175
5605,2022-03-18T00:57:00Z,-23.74942,32.21696,420201.0170314901,7373296.084044952,30,13631.21332096916,6347.131189299186,167,1.808868357679796,204.06588259108244,1.875,9823.3203125,Shrubland,0.5729550719261169,0.0016135018086060882,0.9750609993934631
5605,2022-03-18T06:59:00Z,-23.73899,32.12127,410441.7015419288,7374393.923821071,34,10052.943590893554,2938.6665886899195,141,1.144160483747501,220.14839127985354,1.125,7757.99658203125,Shrubland,0.5529929399490356,0.07885493338108063,0.7638306617736816
5605,2022-03-18T13:00:00Z,-23.76637,32.15029,413417.6182714612,7371380.409102956,44,8206.651402372987,1942.2994864152759,118,0.43015174076472146,132.6719275977274,0.375,7912.37158203125,Shrubland,0.49809587001800537,0,1
5605,2022-03-18T19:02:00Z,-23.83871,32.14244,412666.076466534,7363366.157520173,31,1166.9058648276546,1135.8343858806456,135,1.6684615346953753,62.233729178396736,1.625,2782.9873046875,Shrubland,0.3967844843864441,0,1
5605,2022-03-19T01:05:00Z,-23.83514,32.13488,411893.7142807849,7363756.749889605,26,1125.5214930898528,983.4780073612142,146,3.1311839076571584,25.944094066557387,3.25,3355.84521484375,Tree cover,0.5465278625488281,0.9962573647499084,2.3052418328006752e-5
5605,2022-03-19T07:05:00Z,-23.82518,32.10316,408656.10864,7364839.452500012,33,563.2652453592528,504.4159381805562,141,1.401511311443359,282.00473865791696,1.25,4126.060546875,Shrubland,0.5464837551116943,0.3603886067867279,0.37547674775123596
5605,2022-03-19T13:06:00Z,-23.8168,32.08642,406945.0530685003,7365756.41093738,42,938.6445425604702,875.3327858054497,149,1.4338671535902745,312.6608617959004,1.75,2469.57763671875,Tree cover,0.5526142716407776,0.9771106243133545,7.569622830487788e-4
5605,2022-03-20T01:11:00Z,-23.81755,32.07653,405938.16434485564,7365666.847843828,28,560.5948331919168,493.66226642087935,136,3.4539879711636967,215.41210472635944,3.625,2171.777587890625,Tree cover,0.5020102262496948,0.750872015953064,0.14825120568275452
5605,2022-03-20T07:11:00Z,-23.81685,32.08061,406353.2626874129,7365747.05179185,36,832.0815835973484,749.6108065822104,152,1.7390550332468184,213.06837718720308,1.625,2319.156005859375,Tree cover,0.565034806728363,1,0
5605,2022-03-20T13:13:00Z,-23.82382,32.08031,406327.70701854036,7364975.12830756,39,154.29371086547945,111.80779967047258,127,1.0212528959837008,328.91395797810645,1.125,2709.70068359375,Tree cover,0.5353681445121765,0.569141685962677,0.16847839951515198
5605,2022-03-20T19:14:00Z,-23.81773,32.07537,405820.13322133047,7365646.148425823,32,514.1948804223248,449.8163834430291,133,2.662094148661972,198.46426878042791,2.75,2171.777587890625,NA,0.5020102262496948,0.007708471268415451,0.5035456418991089
5605,2022-03-21T01:16:00Z,-23.81698,32.07705,405990.7224970843,7365730.303523058,29,638.1910289870106,571.1320706186524,141,3.805261581900132,209.87758088100585,3.625,2171.777587890625,Tree cover,0.542651355266571,1,0
5605,2022-03-21T07:17:00Z,-23.81237,32.09534,407850.5458492468,7366252.725609079,37,1547.0490821395308,1459.9301915142728,146,1.368799087138737,337.34627146102923,1.375,2514.6845703125,Tree cover,0.6108911633491516,0.3267875909805298,0.33915042877197266
5605,2022-03-21T13:19:00Z,-23.83047,32.10612,408961.2955648926,7364255.643988367,47,191.41575071120758,191.41575071120758,138,3.6980183746432256,94.51575883999811,3.25,4500.1396484375,Tree cover,0.5678923726081848,0.9148465394973755,5.705035291612148e-4
5605,2022-03-21T19:21:00Z,-23.8279,32.10029,408365.6910727192,7364536.440779365,32,173.43524988123627,134.0608488596954,136,2.9433959320050103,188.23370316068576,3.25,3878.607666015625,Tree cover,0.5459983348846436,0.88483726978302,0.03812410309910774
5605,2022-03-21T19:23:00Z,-23.82791,32.10031,408367.73518497753,7364535.346496265,33,172.5070278329603,132.95362112395512,136,2.9433959320050103,188.23370316068576,3.25,3878.607666015625,Tree cover,0.5459983348846436,0.8998757004737854,0.032763853669166565
5605,2022-03-21T23:25:00Z,-23.82174,32.10168,408502.9487768096,7365219.377356554,29,838.6460538170296,748.1973518445925,142,1.916987896794308,69.22167594014734,1.875,3499.561279296875,Tree cover,0.5709248781204224,0.8853294849395752,0.052064888179302216
5605,2022-03-22T03:26:00Z,-23.82156,32.10166,408500.7853758195,7365239.294159559,27,850.815235422608,760.7719075723525,142,1.916987896794308,69.22167594014734,1.875,3499.561279296875,Tree cover,0.5709248781204224,0.9585556387901306,0.010359902866184711
5605,2022-03-22T07:26:00Z,-23.81466,32.10269,408600.8683595675,7366003.929740848,36,1526.779510578346,1453.2935720000685,150,3.8295231275609427,69.22070561424799,4,2818.586669921875,NA,0.5895670652389526,0.22768035531044006,0.521731436252594
5605,2022-03-22T11:27:00Z,-23.81475,32.10758,409099.04913175246,7365997.106481326,45,1704.4137019297682,1704.413701930699,126,0.3887435255909289,3.81666561775622e-14,0.625,3502.362548828125,Shrubland,0.5810240507125854,0.08857545256614685,0.8233349919319153
5605,2022-03-22T15:28:00Z,-23.83931,32.13827,412241.78579563875,7363297.14995791,44,915.7232256833422,905.5166843915767,143,0.33103518468500936,252.92741476186416,0.25,2815.1337890625,Shrubland,0.4711795449256897,0,0.6061384081840515
5605,2022-03-22T19:30:00Z,-23.84301,32.15848,414302.4972879819,7362899.85299213,33,2338.662483298736,2236.413718600852,135,1.7218303244296942,66.7346119204171,1.75,2873.6328125,Shrubland,0.6107005476951599,0.0553119070827961,0.8466871976852417
5605,2022-03-22T23:31:00Z,-23.83476,32.16083,414536.41731200356,7363814.709107303,29,2894.8381094561173,1397.6159332667476,124,2.977472074376675,293.037789450085,2.875,3663.508544921875,Tree cover,0.4619193375110626,0.8363999128341675,0.05269680544734001
5605,2022-03-23T03:33:00Z,-23.83538,32.16121,414575.5256609896,7363746.291990053,27,2896.16635590928,1415.7449737862514,127,1.021277927915273,31.088371724761554,2.25,3663.508544921875,Tree cover,0.5080832839012146,0.9496405720710754,0.01136285625398159
5605,2022-03-23T07:33:00Z,-23.84171,32.16236,414696.7916162435,7363046.129325869,38,2756.452231261629,1886.6379638071633,132,3.1523044737353714,132.6554650128795,3.25,3142.826904296875,Tree cover,0.6097548604011536,0.9029607176780701,0.03659621626138687
5605,2022-03-23T11:34:00Z,-23.84641,32.16505,414973.81357791997,7362527.363453953,45,2952.490150575463,2229.6219263990724,137,0.5831041041775658,359.99999999999955,0.625,2817.97119140625,Tree cover,0.6083820462226868,0.5630390048027039,0.2391333431005478
5605,2022-03-23T15:35:00Z,-23.85133,32.17324,415811.0507671839,7361987.513377036,45,2322.933372019484,2322.933372020415,132,1.393493575264104,65.26767421140175,1.375,2900.942626953125,Shrubland,0.5853428840637207,0.13179820775985718,0.7289553284645081
