x_,y_,t_,dt,id,sim
415.2354687132578,7372.608689264223,2022-03-19T19:53:00Z,1H 0M 0S,5605,1
415.27218672230936,7372.640856458504,2022-03-19T20:53:00Z,1H 0M 0S,5605,1
415.3918108898491,7372.704073411805,2022-03-19T21:53:00Z,1H 0M 0S,5605,1
415.68319286382706,7372.89690377624,2022-03-19T22:53:00Z,1H 0M 0S,5605,1
415.3555961942846,7373.216486480758,2022-03-19T23:53:00Z,1H 0M 0S,5605,1
414.6815929237237,7373.692352978326,2022-03-20T00:53:00Z,1H 0M 0S,5605,1
414.65200072551005,7373.954176055392,2022-03-20T01:53:00Z,1H 0M 0S,5605,1
414.3487126802008,7375.025449983206,2022-03-20T02:53:00Z,1H 0M 0S,5605,1
414.9630950764514,7375.997045277106,2022-03-20T03:53:00Z,1H 0M 0S,5605,1
414.9921946712574,7376.005345782297,2022-03-20T04:53:00Z,1H 0M 0S,5605,1
415.14893685292816,7375.566572818957,2022-03-20T05:53:00Z,1H 0M 0S,5605,1
416.4302064727045,7374.0642392161835,2022-03-20T06:53:00Z,1H 0M 0S,5605,1
416.4596665552428,7374.01270628021,2022-03-20T07:53:00Z,1H 0M 0S,5605,1
416.8279190949919,7373.702124015532,2022-03-20T08:53:00Z,1H 0M 0S,5605,1
416.80989690068213,7373.557404584369,2022-03-20T09:53:00Z,1H 0M 0S,5605,1
416.8086761247765,7373.555432790034,2022-03-20T10:53:00Z,1H 0M 0S,5605,1
416.65770020380455,7373.384195399396,2022-03-20T11:53:00Z,1H 0M 0S,5605,1
416.2274301826973,7372.294614932716,2022-03-20T12:53:00Z,1H 0M 0S,5605,1
415.16718602472747,7372.065799703393,2022-03-20T13:53:00Z,1H 0M 0S,5605,1
414.80505338962035,7372.282359848719,2022-03-20T14:53:00Z,1H 0M 0S,5605,1
414.7772676400219,7373.171011001268,2022-03-20T15:53:00Z,1H 0M 0S,5605,1
414.62245425323425,7373.577044063572,2022-03-20T16:53:00Z,1H 0M 0S,5605,1
414.38011719169936,7373.379271003178,2022-03-20T17:53:00Z,1H 0M 0S,5605,1
414.54853422460394,7373.05847064542,2022-03-20T18:53:00Z,1H 0M 0S,5605,1
414.38445960103746,7373.636162200566,2022-03-20T19:53:00Z,1H 0M 0S,5605,1
414.4044812329756,7373.401096859767,2022-03-20T20:53:00Z,1H 0M 0S,5605,1
414.4134361497812,7373.359287391792,2022-03-20T21:53:00Z,1H 0M 0S,5605,1
414.42714369098445,7373.2032002215365,2022-03-20T22:53:00Z,1H 0M 0S,5605,1
414.25005807525275,7372.650112375572,2022-03-20T23:53:00Z,1H 0M 0S,5605,1
414.2388348039225,7372.522205677839,2022-03-21T00:53:00Z,1H 0M 0S,5605,1
414.2795277921586,7372.486663865429,2022-03-21T01:53:00Z,1H 0M 0S,5605,1
412.2417837740574,7374.354563708661,2022-03-21T02:53:00Z,1H 0M 0S,5605,1
412.2397435874435,7374.354761741353,2022-03-21T03:53:00Z,1H 0M 0S,5605,1
411.97867778904987,7374.00507198528,2022-03-21T04:53:00Z,1H 0M 0S,5605,1
411.91111390089236,7374.029039355118,2022-03-21T05:53:00Z,1H 0M 0S,5605,1
412.39651373279224,7373.237327561517,2022-03-21T06:53:00Z,1H 0M 0S,5605,1
411.2966074869298,7373.010267365589,2022-03-21T07:53:00Z,1H 0M 0S,5605,1
411.41245699009346,7373.4093108454335,2022-03-21T08:53:00Z,1H 0M 0S,5605,1
411.19742945379073,7373.570425916019,2022-03-21T09:53:00Z,1H 0M 0S,5605,1
411.32088877947507,7373.267932378866,2022-03-21T10:53:00Z,1H 0M 0S,5605,1
411.47372661793463,7373.139376339585,2022-03-21T11:53:00Z,1H 0M 0S,5605,1
411.34998208578116,7373.031108296667,2022-03-21T12:53:00Z,1H 0M 0S,5605,1
411.3637651841597,7373.027272868819,2022-03-21T13:53:00Z,1H 0M 0S,5605,1
412.30522801381363,7372.742952162109,2022-03-21T14:53:00Z,1H 0M 0S,5605,1
