id,date,lat,lon,temp
5605,2022-03-17T06:53:00Z,-23.87907,32.16675,31
5605,2022-03-17T12:54:00Z,-23.84179,32.18002,44
5605,2022-03-17T18:57:00Z,-23.77655,32.20507,33
5605,2022-03-18T00:57:00Z,-23.74942,32.21696,30
5605,2022-03-18T06:59:00Z,-23.73899,32.12127,34
5605,2022-03-18T13:00:00Z,-23.76637,32.15029,44
5605,2022-03-18T19:02:00Z,-23.83871,32.14244,31
5605,2022-03-19T01:05:00Z,-23.83514,32.13488,26
5605,2022-03-19T07:05:00Z,-23.82518,32.10316,33
5605,2022-03-19T13:06:00Z,-23.8168,32.08642,42
5605,2022-03-20T01:11:00Z,-23.81755,32.07653,28
5605,2022-03-20T07:11:00Z,-23.81685,32.08061,36
5605,2022-03-20T13:13:00Z,-23.82382,32.08031,39
5605,2022-03-20T19:14:00Z,-23.81773,32.07537,32
5605,2022-03-21T01:16:00Z,-23.81698,32.07705,29
5605,2022-03-21T07:17:00Z,-23.81237,32.09534,37
5605,2022-03-21T13:19:00Z,-23.83047,32.10612,47
5605,2022-03-21T19:21:00Z,-23.8279,32.10029,32
5605,2022-03-21T19:23:00Z,-23.82791,32.10031,33
5605,2022-03-21T23:25:00Z,-23.82174,32.10168,29
5605,2022-03-22T03:26:00Z,-23.82156,32.10166,27
5605,2022-03-22T07:26:00Z,-23.81466,32.10269,36
5605,2022-03-22T11:27:00Z,-23.81475,32.10758,45
5605,2022-03-22T15:28:00Z,-23.83931,32.13827,44
5605,2022-03-22T19:30:00Z,-23.84301,32.15848,33
5605,2022-03-22T23:31:00Z,-23.83476,32.16083,29
5605,2022-03-23T03:33:00Z,-23.83538,32.16121,27
5605,2022-03-23T07:33:00Z,-23.84171,32.16236,38
5605,2022-03-23T11:34:00Z,-23.84641,32.16505,45
5605,2022-03-23T15:35:00Z,-23.85133,32.17324,45
5605,2022-03-23T19:36:00Z,-23.87452,32.18379,31
5605,2022-03-23T23:37:00Z,-23.87495,32.17096,28
5605,2022-03-24T03:38:00Z,-23.878050000000002,32.1555,26
5605,2022-03-24T07:39:00Z,-23.87461,32.1549,32
5605,2022-03-24T11:40:00Z,-23.87477,32.15484,45
5605,2022-03-24T15:41:00Z,-23.87497,32.15578,43
5605,2022-03-24T19:42:00Z,-23.88421,32.15363,32
5605,2022-03-24T19:43:00Z,-23.88421,32.15372,33
5605,2022-03-24T20:16:00Z,-23.88862,32.15193,31
5605,2022-03-24T20:17:00Z,-23.88864,32.15195,32
5605,2022-03-24T20:47:00Z,-23.88971,32.15185,31
5605,2022-03-24T21:17:00Z,-23.89095,32.15195,31
5605,2022-03-24T21:47:00Z,-23.89261,32.1506,31
5605,2022-03-24T22:18:00Z,-23.89399,32.15174,31
5605,2022-03-24T22:47:00Z,-23.89453,32.15236,31
5605,2022-03-24T23:17:00Z,-23.89581,32.15238,31
5605,2022-03-24T23:48:00Z,-23.89721,32.1524,31
5605,2022-03-25T00:18:00Z,-23.89749,32.1525,31
5605,2022-03-25T00:48:00Z,-23.89416,32.15555,31
5605,2022-03-25T01:18:00Z,-23.88188,32.16147,31
5605,2022-03-25T01:48:00Z,-23.87728,32.16007,30
5605,2022-03-25T02:18:00Z,-23.87022,32.15814,30
5605,2022-03-25T02:48:00Z,-23.86282,32.1588,31
5605,2022-03-25T03:19:00Z,-23.85528,32.15698,30
5605,2022-03-25T03:49:00Z,-23.85518,32.15664,30
5605,2022-03-25T04:19:00Z,-23.85397,32.15646,31
5605,2022-03-25T04:49:00Z,-23.85202,32.1566,31
5605,2022-03-25T05:19:00Z,-23.84817,32.16087,32
5605,2022-03-25T05:50:00Z,-23.84602,32.16165,33
5605,2022-03-25T06:19:00Z,-23.8457,32.16152,36
5605,2022-03-25T06:50:00Z,-23.84559,32.16404,38
5605,2022-03-25T07:20:00Z,-23.84632,32.16494,39
5605,2022-03-25T07:50:00Z,-23.84644,32.1661,38
5605,2022-03-25T08:20:00Z,-23.84672,32.16548,39
5605,2022-03-25T08:21:00Z,-23.84675,32.16544,40
5605,2022-03-25T09:25:00Z,-23.84645,32.16499,41
5605,2022-03-25T10:00:00Z,-23.84444,32.16383,42
5605,2022-03-25T11:00:00Z,-23.8435,32.16334,43
5605,2022-03-25T12:00:00Z,-23.84347,32.1634,43
5605,2022-03-25T13:00:00Z,-23.8436,32.16374,44
5605,2022-03-25T14:00:00Z,-23.84688,32.16687,45
5605,2022-03-25T14:03:00Z,-23.84712,32.16699,45
5605,2022-03-25T15:07:00Z,-23.85573,32.17292,45
5605,2022-03-25T16:00:00Z,-23.86885,32.17609,42
5605,2022-03-25T17:00:00Z,-23.87332,32.17146,38
5605,2022-03-25T17:03:00Z,-23.87333,32.17147,39
5605,2022-03-25T18:06:00Z,-23.87581,32.17302,35
5605,2022-03-25T19:24:00Z,-23.87535,32.1741,33
5605,2022-03-25T20:22:00Z,-23.87489,32.17616,33
5605,2022-03-25T21:25:00Z,-23.87482,32.177,32
5605,2022-03-25T22:29:00Z,-23.87366,32.17799,30
5605,2022-03-25T23:22:00Z,-23.87336,32.18036,30
5605,2022-03-26T00:26:00Z,-23.86728,32.17732,30
5605,2022-03-26T01:28:00Z,-23.85838,32.17416,30
5605,2022-03-26T02:09:00Z,-23.8563,32.16994,31
5605,2022-03-26T03:15:00Z,-23.85617,32.17018,30
5605,2022-03-26T04:00:00Z,-23.85643,32.16973,30
5605,2022-03-26T05:00:00Z,-23.85592,32.16902,31
5605,2022-03-26T07:00:00Z,-23.85309,32.16652,33
5605,2022-03-26T08:00:00Z,-23.85267,32.16642,33
5605,2022-03-26T09:00:00Z,-23.85273,32.1661,33
5605,2022-03-26T10:00:00Z,-23.85311,32.16621,32
5605,2022-03-26T11:00:00Z,-23.85293,32.16521,32
5605,2022-03-26T12:00:00Z,-23.85351,32.16478,33
5605,2022-03-26T13:00:00Z,-23.85363,32.1647,33
5605,2022-03-26T14:00:00Z,-23.85405,32.16516,33
5605,2022-03-26T15:00:00Z,-23.85612,32.16715,33
5605,2022-03-26T16:00:00Z,-23.8616,32.17369,33
5605,2022-03-26T16:50:00Z,-23.86409,32.17586,33
5605,2022-03-26T17:55:00Z,-23.87357,32.1807,31
5605,2022-03-26T18:50:00Z,-23.87497,32.1804,31
5605,2022-03-26T19:54:00Z,-23.87473,32.17869,32
5605,2022-03-26T21:07:00Z,-23.87473,32.17795,32
5605,2022-03-26T22:08:00Z,-23.87483,32.17647,31
5605,2022-03-26T23:00:00Z,-23.87303,32.17401,31
5605,2022-03-27T00:00:00Z,-23.87256,32.17337,31
5605,2022-03-27T01:00:00Z,-23.87295,32.16875,30
5605,2022-03-27T02:00:00Z,-23.86823,32.16475,30
5605,2022-03-27T03:00:00Z,-23.86537,32.16198,30
5605,2022-03-27T04:00:00Z,-23.86417,32.16059,30
5605,2022-03-27T05:00:00Z,-23.86323,32.1599,31
5605,2022-03-27T06:00:00Z,-23.86333,32.15945,31
5605,2022-03-27T07:00:00Z,-23.86364,32.15956,34
5605,2022-03-27T08:00:00Z,-23.86397,32.1597,39
5605,2022-03-27T09:00:00Z,-23.86447,32.15975,42
5605,2022-03-27T10:00:00Z,-23.8643,32.15965,41
5605,2022-03-27T11:00:00Z,-23.8643,32.15969,43
5605,2022-03-27T12:00:00Z,-23.86419,32.16012,45
5605,2022-03-27T13:00:00Z,-23.86392,32.1603,47
5605,2022-03-27T14:00:00Z,-23.86398,32.16049,46
5605,2022-03-27T15:00:00Z,-23.86772,32.16162,44
5605,2022-03-27T16:00:00Z,-23.87202,32.16393,40
5605,2022-03-27T17:00:00Z,-23.87746,32.16455,37
5605,2022-03-27T18:07:00Z,-23.87842,32.16697,34
5605,2022-03-27T19:10:00Z,-23.87605,32.17367,33
5605,2022-03-27T20:14:00Z,-23.87081,32.15595,31
5605,2022-03-27T21:17:00Z,-23.85452,32.15603,31
5605,2022-03-27T22:20:00Z,-23.83924,32.16252,30
5605,2022-03-27T23:24:00Z,-23.83752,32.16427,31
5605,2022-03-28T00:42:00Z,-23.83776,32.16421,31
5605,2022-03-28T02:00:00Z,-23.83777,32.16415,30
5605,2022-03-28T03:00:00Z,-23.83887,32.16414,29
5605,2022-03-28T04:00:00Z,-23.83936,32.16401,30
5605,2022-03-28T05:00:00Z,-23.84205,32.16448,31
5605,2022-03-28T06:00:00Z,-23.84123,32.16245,33
5605,2022-03-28T07:00:00Z,-23.83964,32.16339,34
5605,2022-03-28T08:00:00Z,-23.84008,32.16621,36
5605,2022-03-28T09:00:00Z,-23.8387,32.16823,36
5605,2022-03-28T10:00:00Z,-23.8389,32.16813,37
5605,2022-03-28T11:00:00Z,-23.83895,32.16975,42
5605,2022-03-28T12:00:00Z,-23.83951,32.17175,44
5605,2022-03-28T13:00:00Z,-23.84063,32.17182,45
5605,2022-03-28T14:00:00Z,-23.84251,32.17189,45
5605,2022-03-28T15:00:00Z,-23.845,32.17651,44
5605,2022-03-28T16:00:00Z,-23.85137,32.18034,41
5605,2022-03-28T17:00:00Z,-23.85478,32.1811,37
5605,2022-03-28T18:00:00Z,-23.8718,32.18957,34
5605,2022-03-28T19:04:00Z,-23.87378,32.19381,33
5605,2022-03-28T20:35:00Z,-23.9044,32.20832,30
5605,2022-03-28T22:00:00Z,-23.91393,32.23956,29
5605,2022-03-28T23:00:00Z,-23.92054,32.25985,29
5605,2022-03-29T00:00:00Z,-23.93252,32.27203,28
5605,2022-03-29T01:00:00Z,-23.93644,32.28273,28
5605,2022-03-29T02:00:00Z,-23.93025,32.30615,27
5605,2022-03-29T03:00:00Z,-23.91408,32.32031,27
5605,2022-03-29T04:00:00Z,-23.90075,32.33839,26
5605,2022-03-29T05:00:00Z,-23.88933,32.34657,27
5605,2022-03-29T06:00:00Z,-23.8859,32.3506,30
5605,2022-03-29T07:00:00Z,-23.88591,32.35058,34
5605,2022-03-29T08:00:00Z,-23.88504,32.35128,42
5605,2022-03-29T09:00:00Z,-23.88784,32.35138,46
5605,2022-03-29T10:00:00Z,-23.88775,32.35136,42
5605,2022-03-29T11:00:00Z,-23.88683,32.3499,41
5605,2022-03-29T12:00:00Z,-23.88658,32.35058,42
5605,2022-03-29T13:00:00Z,-23.88641,32.35084,42
5605,2022-03-29T14:00:00Z,-23.88459,32.35004,43
5605,2022-03-29T15:00:00Z,-23.88313,32.34406,43
5605,2022-03-29T16:00:00Z,-23.87614,32.33371,40
5605,2022-03-29T17:00:00Z,-23.86754,32.32704,36
5605,2022-03-29T18:00:00Z,-23.86564,32.32808,33
5605,2022-03-29T19:00:00Z,-23.86321,32.32439,32
5605,2022-03-29T20:00:00Z,-23.85377,32.31744,31
5605,2022-03-29T21:00:00Z,-23.84665,32.31794,29
5605,2022-03-29T22:00:00Z,-23.84476,32.31773,29
5605,2022-03-29T23:00:00Z,-23.84468,32.31774,29
5605,2022-03-30T00:00:00Z,-23.84466,32.31777,29
5605,2022-03-30T01:00:00Z,-23.84274,32.3171,29
