id,id_orig,date,lon,lat,x,y,x.se,y.se,gap_flag,logit_g,logit_g.se,g
5605_1,5605,2022-03-17T06:53:00Z,32.16675216120176,-23.879062452927943,415.16843076773864,7358.91310842693,0.025569282916186636,0.02485852186521383,0,2.049993779279417,0.8525185381590712,1
5605_1,5605,2022-03-17T07:53:00Z,32.16896373786242,-23.87285125952803,415.389560779303,7359.602135759937,0.6719048076379417,0.6465353604562563,0,2.049993779279417,0.8355997665258807,1
5605_1,5605,2022-03-17T08:53:00Z,32.171175709165546,-23.866638297841124,415.6107522286698,7360.291354529308,0.8497338731035942,0.8176454191662421,0,2.049993779279417,0.8183312787198919,1
5605_1,5605,2022-03-17T09:53:00Z,32.173387460730325,-23.860425293581088,415.8319436780366,7360.980573298678,0.9012647969120782,0.867229471486789,0,2.049301160855543,0.8016229420580995,0.9999179057691038
5605_1,5605,2022-03-17T10:53:00Z,32.17559899266127,-23.8542122467767,416.05313512740344,7361.669792068048,0.8497928027978251,0.817702113556917,0,2.0479164333056366,0.7854319160098715,0.9997536460573152
5605_1,5605,2022-03-17T11:53:00Z,32.17781030506291,-23.847999157456737,416.27432657677025,7362.359010837418,0.6720538488109981,0.6466787474350156,0,2.045838010680018,0.7697161769193857,0.9995067689986579
5605_1,5605,2022-03-17T12:53:00Z,32.18002139803975,-23.841786025649935,416.49551802613706,7363.0482296067885,0.028353803925529254,0.027512248568041867,0,2.0430635042826943,0.7544338111687235,0.999176593284645
5605_1,5605,2022-03-17T13:53:00Z,32.18407944221757,-23.831222537787987,416.9020662629293,7364.220195251366,0.6626680395321011,0.637647556637494,0,2.0395897125620266,0.7395428305807232,0.9987622039643476
5605_1,5605,2022-03-17T14:53:00Z,32.188274861285336,-23.820299569607094,417.3224490440274,7365.432027225429,0.8452006588609019,0.8132834146874228,0,2.031056737903312,0.7274423311919275,0.9977395893566492
5605_1,5605,2022-03-17T15:53:00Z,32.19246955237074,-23.809376452900025,417.74283182512556,7366.643859199491,0.8990965122499217,0.865143050140435,0,2.019815712064166,0.717650026335127,0.9963821666595176
5605_1,5605,2022-03-17T16:53:00Z,32.19666351608151,-23.79845318784783,418.1632146062237,7367.855691173554,0.8492114485924752,0.8171426804957315,0,2.0062940429028324,0.7099900169261196,0.9947337894147406
