ID,step,angle,id_orig,date,lon,lat,x.se,y.se,logit_g,logit_g.se,g,x,y,disp,state_vit,Encamped,Exploratory,Transit,state_fb
5605_1,0.6348885382803595,NA,5605,2022-03-17T06:53:00Z,32.16674927969963,-23.8790717625221,0.02308485133289902,0.01253324867957716,2.994103133917402,1.0324943693913249,0.9523070140216,415.16814346144366,7358.912075940491,0,Exploratory,0.0015750624872631653,0.791037430248693,0.20738750726404379,Exploratory
5605_1,0.6314272757603232,0.00367479474808619,5605,2022-03-17T07:53:00Z,32.16880155423019,-23.873657145399903,0.547036864409475,0.5348849655608308,2.994103133917402,1.022770254268751,0.9523070140216,415.3735714805829,7359.5128111442145,0.6348885382803595,Exploratory,2.165740642958961e-4,0.7101654201646759,0.2896180057710282,Exploratory
5605_1,0.6563394363790337,0.00694076219695439,5605,2022-03-17T08:53:00Z,32.170820931997966,-23.868265151422108,0.833140871270327,0.8145232663202666,2.994103133751817,1.0129473122529045,0.9523070140140794,415.57568263669776,7360.111018035806,1.2663136764977287,Exploratory,1.1894950409346223e-4,0.5751968037044044,0.4246842467915021,Exploratory
5605_1,0.7097108314116481,0.00904422443569453,5605,2022-03-17T09:53:00Z,32.172877448165785,-23.862647124402965,0.90253968251345,0.8819436891268658,2.9940243847804764,1.003114525233178,0.9523034372371516,415.7814469817976,7360.73426958216,1.922636438803662,Transit,3.9992035632683394e-5,0.3858263584291468,0.6141336495352205,Transit
5605_1,0.7917006153809198,0.00976309946817988,5605,2022-03-17T10:53:00Z,32.17504115680359,-23.856553970603205,0.7761186714023098,0.7579415949751616,2.9937849482563994,0.9933544344418253,0.9522925604690908,415.9978392042533,7361.410186640891,2.6322902759930136,Transit,7.212517331662474e-6,0.1911953004798899,0.8087974870027784,Transit
5605_1,0.9025202522485084,0.00937386554749153,5605,2022-03-17T11:53:00Z,32.1773823166298,-23.84973550684725,0.47856809353595015,0.4668617900833448,2.9932883118619196,0.983762632112442,0.9522699924937938,416.2318574806852,7362.166510189837,3.4238618251975375,Transit,5.568680983821541e-7,0.06136697651816697,0.9386324666137346,Transit
5605_1,1.1829709786664506,0.0146216164903774,5605,2022-03-17T12:53:00Z,32.179971542492204,-23.841939892384794,0.02458465422471397,0.01499687104738425,2.9924107465246337,0.9744644322229812,0.9522300896875828,416.49053919557986,7363.031164210875,4.326155181784063,Transit,6.043681288744021e-9,0.007551029530223404,0.9924489644260953,Transit
5605_1,1.2812804887780282,-0.00628004076446831,5605,2022-03-17T13:53:00Z,32.18320208567065,-23.831677220722582,0.44574518215416353,0.4343959410672907,2.9902921356527297,0.9667260306120932,0.952133626044992,416.81299723136,7364.169338692898,5.508571100771278,Transit,3.9983733884642883e-10,0.002217012369363263,0.9977829872307994,Transit
5605_1,1.3298654636136646,-0.0172504315593878,5605,2022-03-17T14:53:00Z,32.18677630906903,-23.82058200291073,0.71029251097287,0.6925425968024063,2.9871660853674156,0.9596755104670792,0.9519909541922876,417.1699876425057,7365.399882287117,6.789625270703088,Transit,1.471074972032294e-10,0.0015567048649225178,0.99844329498797,Transit
5605_1,1.331978828874423,-0.0288044238911209,5605,2022-03-17T15:53:00Z,32.19070074863326,-23.809126516044845,0.8034372309912033,0.7833567152574732,2.9831989587869714,0.9535514612645188,0.9518093144746472,417.5624909111144,7366.67050549462,8.119490677137074,Transit,1.4357552399509284e-10,0.0015429158672476799,0.9984570839891769,Transit
5605_1,1.2891231060902018,-0.043460705512683,5605,2022-03-17T16:53:00Z,32.194988209864626,-23.797761584027754,0.7202082947993722,0.7020882240330779,2.978581656999758,0.9482253226006656,0.9515970841257452,417.9921075156935,7367.931297774751,9.450985952549422,Transit,3.6138441991835385e-10,0.0021270364506890977,0.9978729631879266,Transit
5605_1,1.2040194744710628,-0.0646055137492365,5605,2022-03-17T17:53:00Z,32.19965240009402,-23.78693840647071,0.4662258920903243,0.45422041784747585,2.9735698468673606,0.9434893278521304,0.9513657166079648,418.4605240405604,7369.1323074924,10.737453275911358,Transit,4.9697856428907684e-9,0.006882765371219429,0.9931172296589948,Transit
5605_1,0.980092947297137,-0.212788779114457,5605,2022-03-17T18:53:00Z,32.20470803829015,-23.777109429144236,0.04017118972425371,0.03441579311969022,2.9684519498331596,0.9390851986885642,0.951128368916561,418.9695236479282,7370.223445565517,11.933045466943934,Transit,3.693544854164228e-7,0.060021217091468036,0.9399784135540463,Transit
5605_1,0.8438226596348738,-0.0749605714494239,5605,2022-03-17T19:53:00Z,32.21056604440536,-23.77008849384137,0.42144754475945023,0.4104511079366384,2.9644908506569303,0.9352090134501958,0.950943915000726,419.5620903454438,7371.004116363189,12.865621275459558,Transit,5.759478852493796e-6,0.2282033780226373,0.7717908624985101,Transit
5605_1,0.677948232508428,0.0249017301980878,5605,2022-03-17T20:53:00Z,32.216086776346806,-23.764408101301385,0.6905573484731532,0.6729220902606001,2.9603170998289543,0.930610341988216,0.9507488443899332,420.1211708969533,7371.636149287835,13.654102801923358,Exploratory,7.631495908056228e-5,0.5824328027706589,0.4174908822702604,Exploratory
5605_1,0.48633502707454657,0.21338124900496,5605,2022-03-17T21:53:00Z,32.22039708082912,-23.759743953178063,0.7900182671152091,0.7698649526162065,2.956524662203499,0.9257666322555892,0.9505709578077998,420.5575673679285,7372.154967103722,14.297554210596989,Exploratory,0.0011329309086947552,0.8950074156649557,0.10385965342634942,Exploratory
5605_1,0.37198792069749687,0.673086841073329,5605,2022-03-17T22:53:00Z,32.22264900722325,-23.755871229307186,0.7128589724205816,0.6945966150271048,2.953208433899829,0.9205565510737772,0.950414909103876,420.7847070440139,7372.585001202495,14.781565265471245,Exploratory,0.007367654131506391,0.9520708129309443,0.04056153293754938,Exploratory
5605_1,0.5578805740832558,0.761657929262576,5605,2022-03-17T23:53:00Z,32.221989514958146,-23.752566773779993,0.4635734765486131,0.45146914541406347,2.9504049980518405,0.9149003897676612,0.9502826262895536,420.7154979462968,7372.950494176351,15.094711933174768,Exploratory,3.398507235057904e-4,0.798765963748438,0.20089418552805624,Exploratory
5605_1,1.4069265602645034,0.410374981473141,5605,2022-03-18T00:53:00Z,32.21755822313427,-23.74960851150452,0.04013582213288178,0.0343623130959031,2.9479613654516745,0.9088720308599813,0.9501670483917978,420.26209885203446,7373.275548012294,15.240003657440102,Transit,9.644821427457679e-9,0.03172974904482575,0.9682702413103529,Transit
5605_1,1.7479298788283213,0.0572675184141418,5605,2022-03-18T01:53:00Z,32.204077724465236,-23.746870558893367,0.422084093080121,0.4109298799712473,2.944734846638704,0.9044198801763128,0.9500140518339638,418.8865583979976,7373.571065871798,15.1232468553065,Transit,3.5452277575832144e-12,3.4595250185347594e-4,0.9996540474946013,Transit
