id,id_orig,date,lon,lat,x,y,x.se,y.se,logit_g,logit_g.se,g
5605_1,5605,2022-03-17T06:00:00Z,32.165655726077105,-23.88214370426456,415.0588105288456,7358.571294178189,0.38522419007855235,0.37715767627897795,1.2547884464236814,1.476764806216567,0.9152449378749916
5605_1,5605,2022-03-17T14:00:00Z,32.183596034056535,-23.831619408269496,416.85308399781775,7364.175970711786,0.4062648889533787,0.4010881024071404,1.251189625647883,1.0752288581480676,0.9144573087192569
5605_1,5605,2022-03-17T22:00:00Z,32.220838366180004,-23.75836959410493,420.60170298690156,7372.307379059256,0.780176146317579,0.7464675397720772,0.8181875776983236,0.8775514308649573,0.8085170349311028
5605_1,5605,2022-03-18T06:00:00Z,32.12992004652341,-23.7384028625613,411.3229448582411,7374.46434799279,0.4799650000726179,0.40064416101470396,0.4011394010236048,0.8592989975027999,0.6883476087960609
5605_1,5605,2022-03-18T14:00:00Z,32.15112367289235,-23.775122264802732,413.50835818230615,7370.411875684069,0.41243421402579605,0.41507510290092237,0.0830527132714536,0.9150749965565269,0.5893017963573817
5605_1,5605,2022-03-18T22:00:00Z,32.14049593198589,-23.843258225628908,412.4711361660319,7362.861378496076,0.8138462037223155,0.8069468517672862,0.06841480278358582,0.889706567704977,0.584674069855475
5605_1,5605,2022-03-19T06:00:00Z,32.107697955297894,-23.826633631424375,409.11934114660534,7364.681421098431,0.4405857504431085,0.42478748044653536,0.2502685820958001,1.1123924507145135,0.6418467153934511
5605_1,5605,2022-03-19T14:00:00Z,32.08494406125663,-23.81634334759273,406.7943829135052,7365.806002982893,0.3887134414174942,0.3784747240353769,0.305244744065397,1.3124357063517478,0.6589198087905552
5605_1,5605,2022-03-19T22:00:00Z,32.07709704257706,-23.817305280478134,405.99574869842866,7365.6943193062,1.170913857913716,1.1430703062484535,0.35554113667815085,1.5730695795577374,0.6744162002605458
5605_1,5605,2022-03-20T06:00:00Z,32.080077561403655,-23.81647618376255,406.29875830940443,7365.788089516086,0.4613987979834886,0.45117822727699347,0.38650691622995176,1.6416056200165206,0.683890042819949
5605_1,5605,2022-03-20T14:00:00Z,32.079930495176086,-23.8236987548474,406.2889643459775,7364.988301996463,0.3193776886959041,0.31288278659893515,0.42592185377995684,1.6654069682476325,0.6958675843870381
5605_1,5605,2022-03-20T22:00:00Z,32.074337098923785,-23.81730660039444,405.7146131256799,7365.692341577442,0.7670726268956436,0.7489751761429121,0.4696533699198989,1.6400219883525504,0.709041104875623
