ID,step,angle,TimeNum,locType,date,lat,lon,temp,dt,burst_id,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,x,y,disp,state_vit,Encamped,Exploratory,Transit,state_fb
5605,512.6713979538582,NA,457638.88333333336,p,2022-03-17T06:53:00Z,-23.87907,32.16675,31,6.016666666666667,5605_1,110.62494820766544,347.13683653490045,0,724.165036438518,0,724.165036438518,364.33756661289664,415168.21564858523,7358912.271518882,0,Exploratory,0.23710007029962743,0.6217796731460113,0.14112025655436128,Exploratory
5605,661.7919552484476,-5.32939480406558e-05,NA,p,2022-03-17T07:53:00Z,NA,NA,NA,NA,NA,186.51487549309127,585.2277378629191,555.0162159793172,660.0477255471759,555.0162159793172,660.0477255471759,614.2306602119052,415323.8841633877,7359400.737767234,512.6713979538582,Exploratory,0.14233477053233,0.6563040653452475,0.20136116412242253,Exploratory
5605,712.4350368024681,-0.000174868611226398,NA,p,2022-03-17T08:53:00Z,NA,NA,NA,NA,NA,211.09116912583005,662.1283939575683,842.8380627380327,632.049048729606,842.8380627380327,632.049048729606,694.9629427298541,415524.8655308094,7360031.273318953,1174.4633527920575,Exploratory,0.017271394000572603,0.7775123102941096,0.20521629570531782,Exploratory
5605,739.8641117107935,-0.000543606477533709,NA,p,2022-03-17T09:53:00Z,NA,NA,NA,NA,NA,220.8779422788299,692.124885065437,930.9339396541518,625.334310589144,930.9339396541518,625.334310589144,726.5149151340078,415741.34552619356,7360710.022236641,1886.8983808905723,Exploratory,0.06436812920405345,0.7195647472021833,0.2160671235937633,Exploratory
5605,784.8442762982971,-0.00160788047627536,NA,p,2022-03-17T10:53:00Z,NA,NA,NA,NA,NA,230.41982953287055,719.7965628327657,840.3826509394396,632.5116599715772,840.3826509394396,632.5116599715772,755.7780029266669,415966.5432451304,7361414.780983435,2626.7623744033344,Exploratory,0.063296619383244615,0.6348372462368648,0.3018661343798905,Exploratory
5605,914.233457226758,-0.00416086329533938,NA,p,2022-03-17T11:53:00Z,NA,NA,NA,NA,NA,253.89752774802847,786.2677524146263,552.4146992975477,658.9863428023376,552.4146992975477,658.9863428023376,826.2450805201257,416206.6336473616,7362162.000587564,3411.6053347385996,Exploratory,0.03244182114525211,0.5411297697709241,0.4264284090838239,Exploratory
5605,1175.6700739815942,-0.00571738972605096,NA,p,2022-03-17T12:53:00Z,NA,NA,NA,NA,NA,326.20247008607396,990.3247593178103,11.532562594670797,695.7334259614095,11.532562594670797,695.7334259614095,1042.6654211242142,416489.9244868661,7363031.235374354,4325.826799106744,Exploratory,5.500520347867075e-4,0.4111974112824557,0.5882525366827577,Transit
5605,1307.4143384747438,-0.00226810190595006,NA,p,2022-03-17T13:53:00Z,NA,NA,NA,NA,NA,401.08234848315794,1201.1761106671224,538.8153672641492,660.2438943299666,538.8153672641492,660.2438943299666,1266.3692585901476,416860.6108528863,7364146.937727539,5501.448158766149,Transit,2.6863154075439514e-5,0.2159000372814764,0.7840730995644482,Transit
5605,1344.6015315358186,-0.00139934129646369,NA,p,2022-03-17T14:53:00Z,NA,NA,NA,NA,NA,424.4984967809242,1265.3339749435645,834.0533556074215,632.995260645765,834.0533556074215,632.995260645765,1334.6419152400938,417275.64894751343,7365386.726270984,6808.806022089475,Transit,2.9288044178248877e-4,0.2240844397024203,0.7756226798557972,Transit
5605,1342.5003103362214,-0.0029018979323232,NA,p,2022-03-17T15:53:00Z,NA,NA,NA,NA,NA,431.2111659533984,1278.0345696421732,930.6336550974288,625.4206584371834,930.6336550974288,625.4206584371834,1348.8200142507317,417704.2759146307,7366661.179958518,8153.3541367259195,Transit,0.0020426951371993883,0.2109579820731823,0.7869993227896183,Transit
5605,1298.0556184586044,-0.00915304232484804,NA,p,2022-03-17T16:53:00Z,NA,NA,NA,NA,NA,431.1964041472954,1258.152911682415,849.0983453051831,631.7562821215156,849.0983453051831,631.7562821215156,1329.9921383694327,418135.92381043994,7367932.394801609,9495.784105039991,Transit,0.006584967057481506,0.3250065781181237,0.6684084548243947,Transit
