ID,step,angle,TimeNum,locType,date,lat,lon,temp,dt,burst_id,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,x,y,disp,state_vit,Encamped,Exploratory,Transit,state_fb
5605,512.6726836214726,NA,457638.88333333336,p,2022-03-17T06:53:00Z,-23.87907,32.16675,31,6.016666666666667,5605_1,110.62493878258634,347.1368273955738,0,724.165036438518,0,724.165036438518,364.33755504328036,415168.21564858523,7358912.271518882,0,Exploratory,0.11161958649026059,0.7613168182689654,0.1270635952407741,Exploratory
5605,661.7932908720497,-5.32919587128422e-05,NA,p,2022-03-17T07:53:00Z,NA,NA,NA,NA,NA,186.5153716412078,585.2293312059994,555.0153151040068,660.0477255471759,555.0153151040068,660.0477255471759,614.2323289784406,415323.88454525056,7359400.738994916,512.6726836214726,Exploratory,0.06087077611531667,0.7671428120244529,0.17198641186023045,Exploratory
5605,712.4355284508437,-0.000174864542034747,NA,p,2022-03-17T08:53:00Z,NA,NA,NA,NA,NA,211.09143470977148,662.1292752010052,842.835096563972,632.049839806957,842.835096563972,632.049839806957,694.9638630073064,415524.8663060394,7360031.275823082,1174.4659740833035,Exploratory,0.01505645035342352,0.7668145722744655,0.21812897737211095,Exploratory
5605,739.8637726933904,-0.000543602289465817,NA,p,2022-03-17T09:53:00Z,NA,NA,NA,NA,NA,220.87794746443845,692.1249635857215,930.9301799812916,625.3359097317217,930.9301799812916,625.3359097317217,726.5149915140358,415741.34643486474,7360710.025214259,1886.9014938306163,Exploratory,0.01992938256074755,0.8068836554364637,0.1731869620027888,Exploratory
5605,784.8430561410813,-0.00160789424923302,NA,p,2022-03-17T10:53:00Z,NA,NA,NA,NA,NA,230.41957520282472,719.7958353149728,840.3802710678066,632.5124504703444,840.3802710678066,632.5124504703444,755.7772325053393,415966.5440310989,7361414.783644357,2626.7651483285067,Exploratory,0.06650509690512003,0.7446139661608043,0.18888093693407568,Exploratory
5605,914.2319162212045,-0.00416096455197246,NA,p,2022-03-17T11:53:00Z,NA,NA,NA,NA,NA,253.8970363614433,786.266198697998,552.4137941796891,658.9863428023376,552.4137941796891,658.9863428023376,826.2434509804744,416206.63404967607,7362162.002090163,3411.6068884965925,Exploratory,0.02946863476993293,0.6619767941023248,0.3085545711277423,Exploratory
5605,1175.6701944312922,-0.00571756210931595,NA,p,2022-03-17T12:53:00Z,NA,NA,NA,NA,NA,326.2024138660581,990.3239684755168,11.532562594670797,695.7334259614095,11.532562594670797,695.7334259614095,1042.6646523926759,416489.9244875937,7363031.235387052,4325.826811420385,Transit,5.211554794985322e-4,0.3801876828762194,0.619291161644282,Transit
5605,1307.414349876255,-0.00226812737999427,NA,p,2022-03-17T13:53:00Z,NA,NA,NA,NA,NA,401.082792603666,1201.1762843764702,538.8144393016951,660.2438943299666,538.8144393016951,660.2438943299666,1266.369564018031,416860.6111813668,7364146.937758267,5501.448289053661,Transit,2.610836176629383e-5,0.13810390643863768,0.861869985199596,Transit
5605,1344.6010777623442,-0.00139929511828907,NA,p,2022-03-17T14:53:00Z,NA,NA,NA,NA,NA,424.498749072584,1265.3335863388065,834.0509576758485,632.9960505406017,834.0509576758485,632.9960505406017,1334.641627059944,417275.6496331993,7365386.726194155,6808.806161264348,Transit,2.7660149957708317e-4,0.12703601150611335,0.8726873869943096,Transit
5605,1342.499930411091,-0.00290177302246719,NA,p,2022-03-17T15:53:00Z,NA,NA,NA,NA,NA,431.21124758778865,1278.033991941922,930.6304314817993,625.4214578985918,930.6304314817993,625.4214578985918,1348.8194929660613,417704.2767602848,7366661.179349138,8153.353820611375,Transit,0.0018291189246592572,0.32122311910322665,0.6769477619721141,Transit
