id,id_orig,date,lon,lat,x,y,x.se,y.se,logit_g,logit_g.se,g
5605_1,5605,2022-03-17T06:53:00Z,32.16674927969963,-23.8790717625221,415.16814346144366,7358.912075940491,0.023084851332899028,0.012533248679577164,2.994103133917402,1.0324943693913249,0.9523070140216001
5605_1,5605,2022-03-17T07:53:00Z,32.16880155423019,-23.873657145399903,415.3735714805829,7359.5128111442145,0.547036864409475,0.5348849655608308,2.994103133917402,1.022770254268751,0.9523070140216001
5605_1,5605,2022-03-17T08:53:00Z,32.170820931997966,-23.868265151422108,415.57568263669776,7360.111018035806,0.833140871270327,0.8145232663202666,2.994103133751817,1.0129473122529045,0.9523070140140794
5605_1,5605,2022-03-17T09:53:00Z,32.172877448165785,-23.862647124402965,415.78144698179756,7360.73426958216,0.90253968251345,0.8819436891268658,2.9940243847804764,1.0031145252331781,0.9523034372371516
5605_1,5605,2022-03-17T10:53:00Z,32.17504115680359,-23.856553970603205,415.9978392042533,7361.410186640891,0.7761186714023098,0.7579415949751616,2.9937849482563994,0.9933544344418251,0.9522925604690908
5605_1,5605,2022-03-17T11:53:00Z,32.1773823166298,-23.849735506847246,416.2318574806852,7362.166510189837,0.47856809353595015,0.46686179008334483,2.9932883118619196,0.983762632112442,0.9522699924937938
5605_1,5605,2022-03-17T12:53:00Z,32.179971542492204,-23.841939892384794,416.49053919557986,7363.031164210875,0.024584654224713978,0.01499687104738425,2.9924107465246337,0.9744644322229811,0.9522300896875828
5605_1,5605,2022-03-17T13:53:00Z,32.18320208567065,-23.831677220722582,416.81299723136,7364.169338692898,0.44574518215416353,0.4343959410672907,2.9902921356527297,0.9667260306120933,0.9521336260449921
5605_1,5605,2022-03-17T14:53:00Z,32.18677630906903,-23.820582002910726,417.16998764250565,7365.399882287117,0.71029251097287,0.6925425968024063,2.9871660853674156,0.9596755104670793,0.9519909541922876
5605_1,5605,2022-03-17T15:53:00Z,32.19070074863326,-23.809126516044845,417.56249091111437,7366.67050549462,0.8034372309912033,0.7833567152574732,2.9831989587869714,0.9535514612645188,0.9518093144746472
5605_1,5605,2022-03-17T16:53:00Z,32.194988209864626,-23.797761584027754,417.9921075156935,7367.931297774751,0.7202082947993722,0.7020882240330779,2.978581656999758,0.9482253226006655,0.9515970841257452
5605_1,5605,2022-03-17T17:53:00Z,32.19965240009402,-23.78693840647071,418.4605240405604,7369.1323074924,0.4662258920903243,0.45422041784747585,2.9735698468673606,0.9434893278521305,0.9513657166079648
5605_1,5605,2022-03-17T18:53:00Z,32.20470803829015,-23.777109429144236,418.96952364792827,7370.223445565517,0.04017118972425371,0.03441579311969022,2.9684519498331596,0.9390851986885642,0.951128368916561
